image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;37;27;37;;;;
img_02;87;53;70;;;;
img_03;47;34;46;;;;
img_04;76;62;77;;;;
img_05;99;41;83;;;;
img_06;65;34;56;;;;
img_07;114;86;98;;;;
img_08;44;39;43;;;;
img_09;79;50;76;;;;
img_10;109;86;98;;;;
img_11;55;48;56;;;;
img_12;82;47;71;;;;
img_13;73;57;74;;;;
img_14;84;38;71;;;;
img_15;71;40;58;;;;
